frame,x,y,z,roty
1,42.316,0,-38.182,0
2,42.281,0,-38.109,0
3,42.211,0,-38.036,0
4,42.175,0,-37.964,0
5,42.14,0,-37.927,0
6,42.053,0,-37.855,0
7,42.018,0,-37.782,0
8,41.947,0,-37.709,0
9,41.912,0,-37.636,0
10,41.842,0,-37.545,0
11,41.807,0,-37.527,0
12,41.754,0,-37.455,0
13,41.684,0,-37.364,0
14,41.649,0,-37.309,0
15,41.579,0,-37.236,0
16,41.544,0,-37.145,0
17,41.509,0,-37.127,0
18,41.421,0,-37.091,0
19,41.386,0,-37.055,0
20,41.351,0,-37.018,0
21,41.281,0,-37,0
22,41.246,0,-36.982,0
23,41.211,0,-36.945,0
24,41.175,0,-36.909,0
25,41.105,0,-36.909,0
26,41.07,0,-36.855,0
27,41.035,0,-36.836,0
28,41,0,-36.8,0
29,40.93,0,-36.8,0
30,40.895,0,-36.764,0
31,40.842,0,-36.727,0
32,40.807,0,-36.691,0
33,40.737,0,-36.691,0
34,40.702,0,-36.655,0
35,40.667,0,-36.618,0
36,40.632,0,-36.582,0
37,40.561,0,-36.582,0
38,40.526,0,-36.545,0
39,40.491,0,-36.509,0
40,40.456,0,-36.473,0
41,40.386,0,-36.473,0
42,40.351,0,-36.436,0
43,40.316,0,-36.4,0
44,40.281,0,-36.4,0
45,40.281,0,-36.364,0
46,40.281,0,-36.355,0
47,40.281,0,-36.345,0
48,40.281,0,-36.336,0
49,40.281,0,-36.327,0
50,40.281,0,-36.318,0
51,40.281,0,-36.309,0
52,40.281,0,-36.3,0
53,40.281,0,-36.291,0
54,40.289,0,-36.282,0
55,40.298,0,-36.273,0
56,40.307,0,-36.264,0
57,40.316,0,-36.255,0
58,40.316,0,-36.245,0
59,40.316,0,-36.236,0
60,40.316,0,-36.227,0
61,40.316,0,-36.218,0
62,40.316,0,-36.209,0
63,40.316,0,-36.2,0
64,40.316,0,-36.191,0
65,40.316,0,-36.182,0
66,40.325,0,-36.182,0
67,40.333,0,-36.182,0
68,40.342,0,-36.182,0
69,40.351,0,-36.182,0
70,40.351,0,-36.179,0
71,40.351,0,-36.175,0
72,40.351,0,-36.172,0
73,40.351,0,-36.169,0
74,40.351,0,-36.165,0
75,40.351,0,-36.162,0
76,40.351,0,-36.159,0
77,40.351,0,-36.155,0
78,40.351,0,-36.152,0
79,40.351,0,-36.149,0
80,40.351,0,-36.145,0
81,40.386,0,-36.109,0
82,40.439,0,-36.073,0
83,40.474,0,-36.036,0
84,40.526,0,-36.036,0
85,40.526,0,-36,0
86,40.561,0,-35.964,0
87,40.614,0,-35.927,0
88,40.649,0,-35.891,0
89,40.702,0,-35.891,0
90,40.684,0,-35.855,0
91,40.719,0,-35.818,0
92,40.737,0,-35.782,0
93,40.772,0,-35.782,0
94,40.754,0,-35.745,0
95,40.789,0,-35.709,0
96,40.807,0,-35.673,0
97,40.842,0,-35.673,0
98,40.842,0,-35.6,0
99,40.842,0,-35.527,0
100,40.842,0,-35.455,0
101,40.842,0,-35.382,0
102,40.842,0,-35.309,0
103,40.842,0,-35.273,0
104,40.842,0,-35.236,0
105,40.842,0,-35.2,0
106,40.877,0,-35.164,0
107,40.877,0,-35.127,0
108,40.877,0,-35.091,0
109,40.895,0,-35.055,0
110,40.895,0,-35.018,0
111,40.93,0,-34.945,0
112,40.93,0,-34.909,0
113,40.93,0,-34.873,0
114,40.93,0,-34.836,0
115,40.93,0,-34.8,0
116,40.982,0,-34.764,0
117,40.982,0,-34.727,0
118,40.982,0,-34.691,0
119,40.982,0,-34.655,0
120,40.982,0,-34.618,0
121,41.018,0,-34.545,0
122,41.018,0,-34.509,0
123,41.035,0,-34.473,0
124,41.035,0,-34.436,0
125,41.035,0,-34.4,0
126,41.07,0,-34.364,0
127,41.07,0,-34.327,0
128,41.07,0,-34.291,0
129,41.07,0,-34.255,0
130,41.123,0,-34.218,0
131,41.105,0,-34.182,0
132,41.105,0,-34.145,0
133,41.14,0,-34.109,0
134,41.14,0,-34.073,0
135,41.175,0,-34.036,0
136,41.175,0,-34,0
137,41.211,0,-33.964,0
138,41.193,0,-33.927,0
139,41.193,0,-33.891,0
140,41.228,0,-33.855,0
141,41.228,0,-33.818,0
142,41.263,0,-33.782,0
143,41.263,0,-33.745,0
144,41.298,0,-33.709,0
145,41.298,0,-33.636,0
146,41.333,0,-33.6,0
147,41.333,0,-33.527,0
148,41.386,0,-33.491,0
149,41.386,0,-33.418,0
150,41.421,0,-33.382,0
151,41.421,0,-33.309,0
152,41.474,0,-33.273,0
153,41.439,0,-33.236,0
154,41.439,0,-33.2,0
155,41.43,0,-33.182,0
156,41.421,0,-33.164,0
157,41.421,0,-33.127,0
158,41.421,0,-33.109,0
159,41.421,0,-33.091,0
160,41.404,0,-33.055,0
161,41.404,0,-33.036,0
162,41.404,0,-33.018,0
163,41.404,0,-32.982,0
164,41.386,0,-32.982,0
165,41.386,0,-32.945,0
166,41.386,0,-32.909,0
167,41.404,0,-32.909,0
168,41.368,0,-32.909,0
169,41.333,0,-32.909,0
170,41.333,0,-32.945,0
171,41.298,0,-32.945,0
172,41.263,0,-32.945,0
173,41.263,0,-32.982,0
174,41.193,0,-32.945,0
175,41.158,0,-32.945,0
176,41.088,0,-32.909,0
177,41.053,0,-32.909,0
178,41.035,0,-32.909,0
179,40.965,0,-32.873,0
180,40.93,0,-32.873,0
181,40.86,0,-32.836,-90
182,40.825,0,-32.836,-90
183,40.807,0,-32.836,-90
184,40.667,0,-32.836,-90
185,40.561,0,-32.836,-90
186,40.456,0,-32.836,-90
187,40.368,0,-32.873,-90
188,40.228,0,-32.873,-90
189,40.123,0,-32.873,-90
190,40.018,0,-32.873,-90
191,39.93,0,-32.909,-90
192,39.807,0,-32.964,-90
193,39.702,0,-33.036,-90
194,39.579,0,-33.091,-90
195,39.474,0,-33.164,-90
196,39.368,0,-33.236,-90
197,39.123,0,-33.273,-90
198,38.895,0,-33.345,-90
199,38.702,0,-33.418,-90
200,38.596,0,-33.455,-90
201,38.526,0,-33.491,-90
202,38.421,0,-33.527,-90
203,38.351,0,-33.564,-90
204,38.175,0,-33.618,-90
205,38.035,0,-33.691,-90
206,37.86,0,-33.764,-90
207,37.719,0,-33.836,-90
208,37.544,0,-33.891,-90
209,37.404,0,-33.964,-90
210,37.228,0,-34.036,-90
211,37.088,0,-34.109,-90
212,36.895,0,-34.218,-90
213,36.719,0,-34.327,-90
214,36.544,0,-34.436,-90
215,36.368,0,-34.545,-90
216,36.175,0,-34.655,-90
217,36,0,-34.764,-90
218,35.825,0,-34.873,-90
219,35.649,0,-34.982,-90
220,35.439,0,-35.073,-90
221,35.263,0,-35.182,-90
222,35.088,0,-35.291,-90
223,34.912,0,-35.4,-90
224,34.737,0,-35.491,-90
225,34.561,0,-35.6,-90
226,34.386,0,-35.709,-90
227,34.211,0,-35.818,-90
228,34.035,0,-35.964,-90
229,33.789,0,-35.964,-90
230,33.579,0,-35.982,-90
231,33.368,0,-36.036,-90
232,33.211,0,-36.109,-90
233,33.053,0,-36.182,-90
234,32.877,0,-36.218,-90
235,32.702,0,-36.255,-90
236,32.421,0,-36.273,-90
237,32.14,0,-36.291,-90
238,31.912,0,-36.309,-90
239,31.632,0,-36.327,-90
240,31.404,0,-36.4,-90
241,31.228,0,-36.4,-90
242,31.053,0,-36.436,-90
243,30.877,0,-36.436,-90
244,30.702,0,-36.473,-90
245,30.456,0,-36.436,-90
246,30.211,0,-36.455,-90
247,29.965,0,-36.418,-90
248,29.719,0,-36.436,-90
249,29.509,0,-36.145,-90
250,29.298,0,-35.891,-90
251,29.088,0,-35.636,-90
252,28.895,0,-35.491,-90
253,28.702,0,-35.345,-90
254,28.561,0,-35.2,-90
255,28.298,0,-35.164,-90
256,28.088,0,-35.164,-90
257,27.877,0,-35.164,-90
258,27.614,0,-35.127,-90
259,27.404,0,-35.127,-90
260,27.193,0,-35.127,-90
261,26.965,0,-35.055,-90
262,26.754,0,-35.018,-90
263,26.544,0,-34.982,-90
264,26.316,0,-34.909,-90
265,26.105,0,-34.891,-90
266,25.895,0,-34.855,-90
267,25.667,0,-34.782,-90
268,25.456,0,-34.745,-90
269,25.246,0,-34.709,-90
270,25.035,0,-34.691,-90
271,24.807,0,-34.618,-90
272,24.596,0,-34.582,-90
273,24.386,0,-34.545,-90
274,24.158,0,-34.473,-90
275,23.947,0,-34.455,-90
276,23.737,0,-34.418,-90
277,23.509,0,-34.345,-90
278,23.298,0,-34.309,-90
279,23.088,0,-34.273,-90
280,22.877,0,-34.255,-90
281,22.667,0,-34.255,-90
282,22.474,0,-34.255,-90
283,22.263,0,-34.255,-90
284,22.105,0,-34.255,-90
285,21.895,0,-34.255,-90
286,21.702,0,-34.255,-90
287,21.544,0,-34.255,-90
288,21.351,0,-34.182,-90
289,21.175,0,-34.145,-90
290,20.982,0,-34.073,-90
291,20.842,0,-34.036,-90
292,20.649,0,-33.964,-90
293,20.474,0,-33.927,-90
294,20.281,0,-33.855,-90
295,20.14,0,-33.818,-90
296,19.947,0,-33.818,-90
297,19.807,0,-33.855,-90
298,19.614,0,-33.855,-90
299,19.474,0,-33.891,-90
300,19.298,0,-33.891,-90
301,19.158,0,-33.927,-90
