frame,x,y,z,roty
1,42.86,0,-19.709,45
2,42.93,0,-19.6,45
3,42.965,0,-19.455,45
4,43,0,-19.345,45
5,43.018,0,-19.218,45
6,43.053,0,-19.109,45
7,43.123,0,-19,45
8,43.158,0,-18.855,45
9,43.193,0,-18.727,45
10,43.228,0,-18.618,45
11,43.263,0,-18.509,45
12,43.333,0,-18.4,45
13,43.404,0,-18.236,45
14,43.474,0,-18.145,45
15,43.544,0,-18.036,45
16,43.614,0,-17.927,45
17,43.684,0,-17.818,45
18,43.754,0,-17.673,45
19,43.825,0,-17.564,45
20,43.895,0,-17.455,45
21,43.965,0,-17.345,45
22,44.035,0,-17.236,45
23,44.105,0,-17.164,45
24,44.175,0,-17.091,45
25,44.246,0,-17.018,45
26,44.316,0,-16.945,45
27,44.421,0,-16.873,45
28,44.491,0,-16.8,45
29,44.561,0,-16.727,45
30,44.632,0,-16.655,45
31,44.737,0,-16.582,45
32,44.807,0,-16.509,45
33,44.877,0,-16.436,45
34,44.947,0,-16.364,45
35,45.053,0,-16.291,45
36,45.123,0,-16.218,45
37,45.193,0,-16.145,45
38,45.263,0,-16.073,45
39,45.368,0,-16,45
40,45.439,0,-15.927,65
41,45.509,0,-15.855,65
42,45.579,0,-15.782,65
43,45.684,0,-15.709,65
44,45.754,0,-15.636,65
45,45.825,0,-15.564,65
46,45.895,0,-15.491,65
47,46,0,-15.418,65
48,46.07,0,-15.345,65
49,46.14,0,-15.273,65
50,46.211,0,-15.2,65
51,46.316,0,-15.127,65
52,46.386,0,-15.055,65
53,46.456,0,-14.982,65
54,46.526,0,-14.909,65
55,46.632,0,-14.836,65
56,46.702,0,-14.764,65
57,46.807,0,-14.727,65
58,46.93,0,-14.691,65
59,47,0,-14.655,65
60,47.105,0,-14.582,90
61,47.228,0,-14.545,90
62,47.298,0,-14.509,90
63,47.404,0,-14.473,90
64,47.526,0,-14.436,90
65,47.596,0,-14.364,90
66,47.702,0,-14.327,90
67,47.825,0,-14.291,90
68,47.895,0,-14.255,90
69,48,0,-14.182,90
70,48.123,0,-14.145,90
71,48.193,0,-14.109,90
72,48.298,0,-14.073,90
73,48.421,0,-14.036,90
74,48.509,0,-14.036,180
75,48.649,0,-14.055,180
76,48.737,0,-14.055,180
77,48.877,0,-14.073,180
78,48.912,0,-14.109,180
79,48.965,0,-14.145,180
80,49.018,0,-14.236,180
81,49.053,0,-14.273,180
82,49.105,0,-14.309,180
83,49.158,0,-14.4,180
84,49.228,0,-14.364,180
85,49.333,0,-14.364,-90
86,49.404,0,-14.327,-90
87,49.509,0,-14.327,-90
88,49.526,0,-14.364,-90
89,49.561,0,-14.455,-90
90,49.579,0,-14.491,-90
91,49.614,0,-14.582,-90
92,49.649,0,-14.582,-90
93,49.684,0,-14.618,-90
94,49.754,0,-14.655,-90
95,49.807,0,-14.745,-90
96,49.86,0,-14.891,-45
97,49.912,0,-14.982,-45
98,49.965,0,-15.127,-45
99,49.965,0,-15.2,-45
100,50,0,-15.309,-45
101,50,0,-15.382,-45
102,50.035,0,-15.491,-45
103,50.018,0,-15.473,-45
104,50.053,0,-15.455,-45
105,50.035,0,-15.436,-45
106,50.07,0,-15.418,-45
107,50.035,0,-15.418,0
108,50.053,0,-15.418,0
109,50.035,0,-15.418,0
110,50.053,0,-15.418,0
111,50.018,0,-15.418,0
112,50.035,0,-15.418,0
113,50.018,0,-15.418,0
114,50.035,0,-15.418,0
115,49.982,0,-15.455,0
116,49.965,0,-15.509,0
117,49.912,0,-15.564,0
118,49.895,0,-15.618,0
119,49.895,0,-15.673,0
120,49.86,0,-15.673,0
121,49.825,0,-15.673,0
122,49.807,0,-15.673,0
123,49.789,0,-15.673,0
124,49.754,0,-15.673,0
125,49.754,0,-15.636,0
126,49.754,0,-15.6,0
127,49.754,0,-15.564,0
128,49.754,0,-15.491,0
129,49.789,0,-15.455,0
130,49.789,0,-15.382,0
131,49.789,0,-15.345,0
132,49.825,0,-15.309,0
133,49.825,0,-15.182,0
134,49.825,0,-15.109,0
135,49.86,0,-15.018,0
136,49.86,0,-14.945,0
137,49.895,0,-14.873,0
138,49.947,0,-14.8,0
139,50,0,-14.727,0
140,50.105,0,-14.655,0
141,50.14,0,-14.527,0
142,50.175,0,-14.436,0
