frame,x,y,z,roty
1,55.088,0,-39.709,0
2,55.158,0,-39.6,0
3,55.193,0,-39.455,0
4,55.263,0,-39.345,0
5,55.333,0,-39.236,0
6,55.404,0,-39.091,0
7,55.474,0,-38.982,0
8,55.509,0,-38.873,0
9,55.579,0,-38.764,0
10,55.649,0,-38.618,0
11,55.719,0,-38.509,0
12,55.789,0,-38.4,0
13,55.86,0,-38.291,0
14,55.895,0,-38.145,0
15,55.965,0,-38.036,0
16,56.035,0,-37.927,0
17,56.105,0,-37.782,0
18,56.175,0,-37.673,0
19,56.211,0,-37.564,0
20,56.281,0,-37.455,0
21,56.351,0,-37.309,0
22,56.421,0,-37.2,0
23,56.491,0,-37.091,0
24,56.526,0,-36.945,0
25,56.596,0,-36.836,0
26,56.667,0,-36.727,0
27,56.737,0,-36.618,0
28,56.807,0,-36.473,0
29,56.877,0,-36.364,0
30,56.912,0,-36.255,0
31,56.982,0,-36.109,0
32,57.053,0,-36,0
33,57.123,0,-35.891,0
34,57.193,0,-35.782,0
35,57.228,0,-35.636,0
36,57.298,0,-35.527,0
37,57.368,0,-35.418,0
38,57.439,0,-35.273,0
39,57.509,0,-35.164,0
40,57.544,0,-35.055,0
41,57.614,0,-34.945,0
42,57.684,0,-34.8,0
43,57.754,0,-34.691,0
44,57.825,0,-34.582,0
45,57.895,0,-34.473,0
46,57.93,0,-34.327,0
47,57.965,0,-34.218,0
48,58.035,0,-34.109,0
49,58.07,0,-33.964,0
50,58.105,0,-33.855,0
51,58.175,0,-33.745,0
52,58.211,0,-33.636,0
53,58.246,0,-33.491,0
54,58.316,0,-33.382,0
55,58.351,0,-33.273,0
56,58.421,0,-33.164,0
57,58.456,0,-33.018,0
58,58.491,0,-32.909,0
59,58.561,0,-32.8,0
60,58.596,0,-32.655,0
61,58.632,0,-32.545,0
62,58.702,0,-32.436,0
63,58.737,0,-32.327,0
64,58.772,0,-32.182,0
65,58.842,0,-32.073,0
66,58.877,0,-31.964,0
67,58.947,0,-31.855,0
68,58.947,0,-31.709,0
69,58.982,0,-31.582,0
70,58.982,0,-31.436,0
71,59.018,0,-31.345,0
72,59.018,0,-31.2,0
73,59.053,0,-31.073,0
74,59.088,0,-30.982,0
75,59.053,0,-30.855,0
76,59.053,0,-30.745,0
77,59.053,0,-30.618,0
78,59.053,0,-30.509,0
79,59.053,0,-30.4,0
80,59.053,0,-30.273,0
81,59.053,0,-30.164,0
82,59.018,0,-30.036,0
83,59.018,0,-29.927,0
84,59.018,0,-29.818,0
85,59.018,0,-29.691,0
86,59.018,0,-29.582,0
87,59.018,0,-29.455,0
88,59.018,0,-29.345,0
89,59.018,0,-29.273,0
90,59.018,0,-29.127,0
91,59.018,0,-28.982,-45
92,59.018,0,-28.873,-45
93,59.018,0,-28.727,-45
94,59.018,0,-28.618,-45
95,58.982,0,-28.491,-45
96,58.947,0,-28.418,-45
97,58.912,0,-28.309,-45
98,58.912,0,-28.236,-45
99,58.877,0,-28.109,-45
100,58.842,0,-28.036,-45
101,58.807,0,-27.927,-45
102,58.807,0,-27.855,-45
103,58.737,0,-27.745,-45
104,58.702,0,-27.673,-45
105,58.667,0,-27.6,-45
106,58.632,0,-27.527,-45
107,58.596,0,-27.418,-45
108,58.561,0,-27.345,-45
109,58.526,0,-27.273,-45
110,58.491,0,-27.2,-45
111,58.456,0,-27.127,-45
112,58.351,0,-27.055,-45
113,58.281,0,-26.982,-45
114,58.211,0,-26.945,-45
115,58.105,0,-26.873,-45
116,58.035,0,-26.8,-45
117,57.965,0,-26.764,-45
118,57.895,0,-26.691,-45
119,57.825,0,-26.618,-45
120,57.789,0,-26.545,-45
121,57.719,0,-26.473,-45
122,57.684,0,-26.455,-45
123,57.614,0,-26.382,-45
124,57.579,0,-26.309,-45
125,57.509,0,-26.236,-45
126,57.474,0,-26.218,-45
127,57.404,0,-26.145,-45
128,57.333,0,-26.073,-45
129,57.298,0,-26,-45
130,57.228,0,-25.927,-45
131,57.193,0,-25.909,-45
132,57.123,0,-25.836,-45
133,57.088,0,-25.764,-45
134,57.018,0,-25.691,-45
135,56.982,0,-25.673,-45
136,56.947,0,-25.6,-45
137,56.912,0,-25.527,-45
138,56.877,0,-25.491,-45
139,56.842,0,-25.418,-45
140,56.842,0,-25.345,-45
141,56.807,0,-25.309,-45
142,56.772,0,-25.236,-45
143,56.737,0,-25.164,-45
144,56.702,0,-25.127,-45
145,56.702,0,-25.055,-45
146,56.667,0,-24.982,-45
147,56.632,0,-24.964,-45
148,56.596,0,-24.891,-45
149,56.596,0,-24.818,-45
150,56.561,0,-24.782,-45
151,56.526,0,-24.709,-90
152,56.491,0,-24.636,-90
153,56.456,0,-24.6,-90
154,56.456,0,-24.527,-90
155,56.421,0,-24.455,-90
156,56.386,0,-24.418,-90
157,56.351,0,-24.345,-90
158,56.351,0,-24.327,-90
159,56.316,0,-24.273,-90
160,56.316,0,-24.236,-90
161,56.316,0,-24.2,-90
162,56.316,0,-24.164,-90
163,56.316,0,-24.127,-90
164,56.298,0,-24.073,-90
165,56.298,0,-24.036,-90
166,56.298,0,-24,-90
167,56.298,0,-23.964,-90
168,56.298,0,-23.927,-90
169,56.316,0,-23.927,-90
170,56.281,0,-23.909,-90
171,56.263,0,-23.909,-90
172,56.246,0,-23.927,-90
173,56.228,0,-23.927,-90
174,56.246,0,-23.964,-90
175,56.158,0,-23.945,-90
176,56.105,0,-23.945,-90
