frame,x,y,z,roty
1,43.088,0,-49.927,0
2,43.053,0,-49.855,0
3,43.018,0,-49.782,0
4,42.982,0,-49.709,0
5,42.947,0,-49.636,0
6,42.912,0,-49.564,0
7,42.877,0,-49.491,0
8,42.842,0,-49.418,0
9,42.807,0,-49.345,0
10,42.772,0,-49.273,0
11,42.737,0,-49.2,0
12,42.702,0,-49.127,0
13,42.667,0,-49.055,0
14,42.632,0,-48.982,0
15,42.596,0,-48.873,0
16,42.561,0,-48.8,0
17,42.526,0,-48.727,0
18,42.491,0,-48.655,0
19,42.456,0,-48.582,0
20,42.421,0,-48.509,0
21,42.386,0,-48.436,0
22,42.351,0,-48.364,0
23,42.316,0,-48.291,0
24,42.281,0,-48.218,0
25,42.246,0,-48.145,0
26,42.211,0,-48.073,0
27,42.175,0,-48,0
28,42.14,0,-47.927,0
29,42.105,0,-47.855,0
30,42.07,0,-47.745,0
31,42.035,0,-47.673,0
32,42.035,0,-47.6,0
33,42,0,-47.527,0
34,41.965,0,-47.455,0
35,41.965,0,-47.382,0
36,41.93,0,-47.309,0
37,41.895,0,-47.2,0
38,41.895,0,-47.127,0
39,41.86,0,-47.055,0
40,41.825,0,-46.982,0
41,41.825,0,-46.909,0
42,41.789,0,-46.836,0
43,41.754,0,-46.764,0
44,41.754,0,-46.691,0
45,41.719,0,-46.6,0
46,41.684,0,-46.564,0
47,41.649,0,-46.491,0
48,41.649,0,-46.455,0
49,41.614,0,-46.382,0
50,41.579,0,-46.345,0
51,41.579,0,-46.309,0
52,41.544,0,-46.218,0
53,41.509,0,-46.182,0
54,41.474,0,-46.109,0
55,41.474,0,-46.073,0
56,41.439,0,-46,0
57,41.404,0,-45.964,0
58,41.404,0,-45.927,0
59,41.368,0,-45.873,0
60,41.333,0,-45.836,0
61,41.333,0,-45.8,45
62,41.298,0,-45.764,45
63,41.298,0,-45.727,45
64,41.263,0,-45.673,45
65,41.228,0,-45.636,45
66,41.228,0,-45.6,45
67,41.193,0,-45.564,45
68,41.193,0,-45.527,45
69,41.158,0,-45.527,45
70,41.146,0,-45.527,45
71,41.135,0,-45.527,45
72,41.123,0,-45.527,45
73,41.123,0,-45.53,45
74,41.123,0,-45.532,45
75,41.123,0,-45.534,45
76,41.123,0,-45.536,45
77,41.123,0,-45.539,45
78,41.123,0,-45.541,45
79,41.123,0,-45.543,45
80,41.123,0,-45.545,45
81,41.123,0,-45.548,45
82,41.123,0,-45.55,45
83,41.123,0,-45.552,45
84,41.123,0,-45.555,45
85,41.123,0,-45.557,45
86,41.123,0,-45.559,45
87,41.123,0,-45.561,45
88,41.123,0,-45.564,45
89,41.123,0,-45.566,45
90,41.123,0,-45.569,45
91,41.123,0,-45.572,45
92,41.123,0,-45.575,45
93,41.123,0,-45.578,45
94,41.123,0,-45.58,45
95,41.123,0,-45.583,45
96,41.123,0,-45.586,45
97,41.123,0,-45.589,45
98,41.123,0,-45.592,45
99,41.123,0,-45.594,45
100,41.123,0,-45.597,45
101,41.123,0,-45.6,45
102,41.123,0,-45.603,45
103,41.123,0,-45.606,45
104,41.123,0,-45.608,45
105,41.123,0,-45.611,45
106,41.123,0,-45.614,45
107,41.123,0,-45.617,45
108,41.123,0,-45.62,45
109,41.123,0,-45.622,45
110,41.123,0,-45.625,45
111,41.123,0,-45.628,45
112,41.123,0,-45.631,45
113,41.123,0,-45.634,45
114,41.123,0,-45.636,45
115,41.123,0,-45.639,45
116,41.123,0,-45.642,45
117,41.123,0,-45.645,45
118,41.123,0,-45.648,45
119,41.123,0,-45.65,45
120,41.123,0,-45.653,45
121,41.123,0,-45.656,0
122,41.123,0,-45.659,0
123,41.123,0,-45.662,0
124,41.123,0,-45.664,0
125,41.123,0,-45.667,0
126,41.123,0,-45.67,0
127,41.123,0,-45.673,0
128,41.088,0,-45.636,0
129,41.088,0,-45.618,0
130,41.088,0,-45.6,0
131,41.088,0,-45.582,0
132,41.088,0,-45.564,0
133,41.07,0,-45.545,0
134,41.053,0,-45.527,0
135,41.053,0,-45.509,0
136,41.053,0,-45.491,0
137,41.053,0,-45.473,0
138,41.053,0,-45.455,0
139,41.053,0,-45.436,0
140,41.053,0,-45.418,0
