frame,x,y,z,rot
1,51.043,0,-47.345,60
2,51.045,0,-47.345,60
3,51.048,0,-47.345,60
4,51.05,0,-47.345,60
5,51.053,0,-47.345,60
6,51.035,0,-47.291,60
7,51.053,0,-47.291,60
8,51.07,0,-47.291,60
9,51.061,0,-47.291,60
10,51.053,0,-47.291,60
11,51.088,0,-47.291,60
12,51.088,0,-47.236,60
13,51.096,0,-47.236,60
14,51.105,0,-47.236,60
15,51.117,0,-47.236,60
16,51.129,0,-47.236,60
17,51.14,0,-47.236,60
18,51.123,0,-47.182,60
19,51.14,0,-47.182,60
20,51.158,0,-47.182,60
21,51.149,0,-47.182,60
22,51.14,0,-47.182,60
23,51.175,0,-47.182,60
24,51.175,0,-47.127,60
25,51.184,0,-47.127,60
26,51.193,0,-47.127,60
27,51.205,0,-47.127,60
28,51.216,0,-47.127,60
29,51.228,0,-47.127,60
30,51.228,0,-47.091,60
31,51.263,0,-47.073,60
32,51.316,0,-47.036,60
33,51.316,0,-47.018,60
34,51.351,0,-46.982,60
35,51.404,0,-46.964,60
36,51.404,0,-46.927,60
37,51.439,0,-46.909,60
38,51.491,0,-46.873,60
39,51.491,0,-46.855,60
40,51.526,0,-46.818,60
41,51.579,0,-46.8,60
42,51.579,0,-46.745,60
43,51.614,0,-46.745,60
44,51.649,0,-46.745,60
45,51.684,0,-46.745,60
46,51.684,0,-46.709,60
47,51.719,0,-46.709,60
48,51.754,0,-46.709,60
49,51.789,0,-46.709,60
50,51.789,0,-46.655,60
51,51.825,0,-46.655,60
52,51.86,0,-46.655,60
53,51.895,0,-46.655,60
54,51.895,0,-46.618,60
55,51.93,0,-46.618,60
56,51.965,0,-46.618,60
57,52,0,-46.618,60
58,52.018,0,-46.618,60
59,52.035,0,-46.618,60
60,52.053,0,-46.618,60
61,52.07,0,-46.618,90
62,52.105,0,-46.618,90
63,52.123,0,-46.618,90
64,52.14,0,-46.618,90
65,52.175,0,-46.618,90
66,52.202,0,-46.618,90
67,52.228,0,-46.618,90
68,52.246,0,-46.618,90
69,52.263,0,-46.618,90
70,52.298,0,-46.618,90
71,52.316,0,-46.618,90
72,52.333,0,-46.618,90
73,52.368,0,-46.618,90
74,52.386,0,-46.618,90
75,52.404,0,-46.618,90
76,52.456,0,-46.618,90
77,52.439,0,-46.582,90
78,52.474,0,-46.582,90
79,52.509,0,-46.582,90
80,52.544,0,-46.545,90
81,52.579,0,-46.545,90
82,52.614,0,-46.545,90
83,52.649,0,-46.545,90
84,52.632,0,-46.509,90
85,52.667,0,-46.509,90
86,52.702,0,-46.509,90
87,52.737,0,-46.473,90
88,52.772,0,-46.473,90
89,52.807,0,-46.473,90
90,52.842,0,-46.473,90
91,52.877,0,-46.418,90
92,52.912,0,-46.418,90
93,53,0,-46.418,90
94,53.035,0,-46.382,90
95,53.07,0,-46.382,90
96,53.158,0,-46.382,90
97,53.193,0,-46.327,90
98,53.228,0,-46.327,90
99,53.316,0,-46.327,90
100,53.351,0,-46.291,90
101,53.386,0,-46.291,90
102,53.474,0,-46.291,90
103,53.491,0,-46.218,90
104,53.526,0,-46.182,90
105,53.596,0,-46.145,90
106,53.614,0,-46.127,90
107,53.649,0,-46.091,90
108,53.719,0,-46.055,90
109,53.737,0,-46.036,90
110,53.807,0,-46,90
111,53.842,0,-45.964,90
112,53.86,0,-45.945,90
113,53.93,0,-45.909,90
114,53.965,0,-45.873,90
115,54.035,0,-45.855,90
116,54.035,0,-45.782,90
117,54.07,0,-45.745,90
118,54.105,0,-45.709,90
119,54.14,0,-45.655,90
120,54.175,0,-45.618,90
121,54.211,0,-45.582,30
122,54.263,0,-45.564,30
123,54.263,0,-45.491,30
124,54.298,0,-45.455,30
125,54.333,0,-45.418,30
126,54.368,0,-45.364,30
127,54.404,0,-45.327,30
128,54.439,0,-45.291,30
129,54.491,0,-45.273,30
130,54.491,0,-45.2,30
131,54.491,0,-45.164,30
132,54.526,0,-45.091,30
133,54.526,0,-45.055,30
134,54.526,0,-45,30
135,54.561,0,-44.964,30
136,54.561,0,-44.927,30
137,54.561,0,-44.855,30
138,54.614,0,-44.836,30
139,54.614,0,-44.764,30
140,54.614,0,-44.727,30
141,54.649,0,-44.691,30
142,54.649,0,-44.636,30
143,54.649,0,-44.6,30
144,54.684,0,-44.527,30
145,54.684,0,-44.491,30
146,54.737,0,-44.473,30
147,54.737,0,-44.4,30
148,54.754,0,-44.364,30
