frame,x,y,z,rot
1,84.281,0,-52.727,-90
2,84.263,0,-52.764,-90
3,84.281,0,-52.8,-90
4,84.228,0,-52.836,-90
5,84.193,0,-52.873,-90
6,84.158,0,-52.909,-90
7,84.158,0,-52.945,-90
8,84.123,0,-52.982,-90
9,84.088,0,-53.018,-90
10,84.088,0,-53.055,-90
11,84.035,0,-53.091,-90
12,84,0,-53.127,-90
13,83.965,0,-53.164,-90
14,83.965,0,-53.2,-90
15,83.93,0,-53.236,-90
16,83.895,0,-53.273,-90
17,83.895,0,-53.309,-90
18,83.86,0,-53.345,-90
19,83.807,0,-53.4,-90
20,83.772,0,-53.436,-90
21,83.772,0,-53.473,-90
22,83.737,0,-53.509,-90
23,83.702,0,-53.545,-90
24,83.702,0,-53.582,-90
25,83.667,0,-53.618,-90
26,83.632,0,-53.655,-90
27,83.579,0,-53.691,-90
28,83.579,0,-53.727,-90
29,83.544,0,-53.764,-90
30,83.509,0,-53.8,-90
31,83.509,0,-53.836,-135
32,83.474,0,-53.873,-135
33,83.439,0,-53.909,-135
34,83.439,0,-54,-135
35,83.386,0,-54.036,-135
36,83.351,0,-54.073,-135
37,83.351,0,-54.127,-135
38,83.316,0,-54.164,-135
39,83.263,0,-54.255,-135
40,83.263,0,-54.291,-135
41,83.228,0,-54.345,-135
42,83.193,0,-54.382,-135
43,83.193,0,-54.473,-135
44,83.14,0,-54.509,-135
45,83.105,0,-54.545,-135
46,83.105,0,-54.6,-135
47,83.07,0,-54.636,-135
48,83.018,0,-54.727,-135
49,83.018,0,-54.764,-135
50,82.982,0,-54.818,-135
51,82.947,0,-54.855,-135
52,82.947,0,-54.945,-135
53,82.912,0,-55,-135
54,82.877,0,-55.073,-135
55,82.842,0,-55.182,-135
56,82.842,0,-55.255,-135
57,82.807,0,-55.327,-135
58,82.772,0,-55.418,-135
59,82.737,0,-55.491,-135
60,82.737,0,-55.564,-135
61,82.702,0,-55.673,-90
62,82.667,0,-55.745,-90
63,82.667,0,-55.855,-90
64,82.632,0,-55.927,-90
65,82.596,0,-56.018,-90
66,82.561,0,-56.091,-90
67,82.526,0,-56.182,-90
68,82.491,0,-56.255,-90
69,82.456,0,-56.345,-90
70,82.421,0,-56.418,-90
71,82.386,0,-56.509,-90
72,82.333,0,-56.636,-90
73,82.298,0,-56.782,-90
74,82.263,0,-56.909,-90
75,82.228,0,-57.055,-90
76,82.175,0,-57.182,-90
77,82.14,0,-57.327,-90
78,82.105,0,-57.455,-90
79,82.07,0,-57.6,-90
80,82.035,0,-57.691,-90
81,82,0,-57.836,-90
82,82,0,-57.964,-90
83,81.965,0,-58.073,-90
84,81.93,0,-58.2,-90
85,81.947,0,-58.345,-90
86,81.912,0,-58.436,-90
87,81.877,0,-58.582,-90
