frame,x,y,z,rot
1,57.404,0,-43.745,90
2,57.386,0,-43.727,90
3,57.421,0,-43.727,90
4,57.456,0,-43.727,90
5,57.491,0,-43.727,90
6,57.509,0,-43.727,90
7,57.526,0,-43.727,90
8,57.544,0,-43.709,90
9,57.579,0,-43.709,90
10,57.596,0,-43.709,90
11,57.614,0,-43.709,90
12,57.649,0,-43.709,90
13,57.684,0,-43.709,90
14,57.719,0,-43.709,90
15,57.719,0,-43.673,90
16,57.754,0,-43.673,90
17,57.789,0,-43.673,90
18,57.825,0,-43.673,90
19,57.86,0,-43.673,90
20,57.912,0,-43.636,90
21,57.947,0,-43.636,90
22,57.982,0,-43.636,90
23,58.018,0,-43.636,90
24,58.053,0,-43.636,90
25,58.105,0,-43.655,90
26,58.105,0,-43.618,90
27,58.14,0,-43.618,90
28,58.175,0,-43.618,90
29,58.211,0,-43.618,90
30,58.246,0,-43.618,90
31,58.298,0,-43.582,90
32,58.333,0,-43.582,90
33,58.368,0,-43.582,90
34,58.404,0,-43.582,90
35,58.439,0,-43.582,90
36,58.491,0,-43.6,90
37,58.526,0,-43.582,90
38,58.561,0,-43.582,90
39,58.596,0,-43.618,90
40,58.632,0,-43.618,90
41,58.667,0,-43.618,90
42,58.737,0,-43.655,90
43,58.772,0,-43.636,90
44,58.807,0,-43.636,90
45,58.842,0,-43.673,90
46,58.877,0,-43.673,90
47,58.912,0,-43.673,90
48,58.982,0,-43.709,90
49,59,0,-43.691,90
50,59.035,0,-43.691,90
51,59.07,0,-43.727,90
52,59.105,0,-43.727,90
53,59.14,0,-43.727,90
54,59.175,0,-43.764,90
55,59.193,0,-43.764,90
56,59.228,0,-43.764,90
57,59.263,0,-43.8,90
58,59.298,0,-43.8,90
59,59.333,0,-43.8,90
60,59.404,0,-43.836,90
61,59.421,0,-43.818,90
62,59.456,0,-43.818,90
63,59.491,0,-43.855,90
64,59.526,0,-43.855,90
65,59.561,0,-43.855,90
66,59.596,0,-43.891,90
67,59.614,0,-43.891,90
68,59.649,0,-43.891,90
69,59.684,0,-43.927,90
70,59.719,0,-43.927,90
71,59.754,0,-43.927,90
72,59.825,0,-43.964,90
73,59.86,0,-43.964,90
74,59.895,0,-43.964,90
75,59.93,0,-43.964,90
76,59.982,0,-43.982,90
77,60.018,0,-43.982,90
78,60.053,0,-43.982,90
79,60.088,0,-43.982,90
80,60.14,0,-44.036,90
81,60.175,0,-44.036,90
82,60.211,0,-44.036,90
83,60.246,0,-44.036,90
84,60.298,0,-44.055,90
85,60.333,0,-44.055,90
86,60.368,0,-44.055,90
87,60.404,0,-44.055,90
88,60.456,0,-44.109,90
89,60.491,0,-44.109,90
90,60.561,0,-44.109,90
91,60.632,0,-44.109,90
92,60.684,0,-44.145,90
93,60.754,0,-44.145,90
94,60.825,0,-44.145,90
95,60.912,0,-44.182,90
96,60.93,0,-44.182,90
97,60.947,0,-44.182,90
98,60.965,0,-44.182,90
99,60.982,0,-44.182,90
100,61.053,0,-44.182,90
101,61.07,0,-44.182,90
102,61.088,0,-44.182,90
103,61.105,0,-44.182,90
104,61.123,0,-44.182,90
105,61.193,0,-44.182,90
106,61.228,0,-44.145,90
107,61.281,0,-44.109,90
108,61.316,0,-44.109,90
109,61.368,0,-44.091,90
110,61.404,0,-44.055,90
111,61.456,0,-44.055,90
112,61.491,0,-44.036,90
113,61.544,0,-44,90
114,61.579,0,-44,90
115,61.632,0,-43.982,90
116,61.667,0,-43.982,90
117,61.719,0,-43.945,90
118,61.754,0,-43.927,90
119,61.807,0,-43.927,90
120,61.842,0,-43.891,90
121,61.895,0,-43.873,45
122,61.93,0,-43.873,45
123,61.982,0,-43.836,45
124,62.07,0,-43.855,45
125,62.053,0,-43.782,45
126,62.088,0,-43.745,45
127,62.123,0,-43.709,45
128,62.158,0,-43.673,45
129,62.193,0,-43.636,45
130,62.193,0,-43.6,45
131,62.228,0,-43.564,45
