frame,x,y,z,rot
1,47.389,0,-36.333,90
2,47.392,0,-36.339,90
3,47.395,0,-36.345,90
4,47.398,0,-36.352,90
5,47.401,0,-36.358,90
6,47.404,0,-36.364,90
7,47.386,0,-36.327,90
8,47.368,0,-36.327,90
9,47.404,0,-36.291,90
10,47.386,0,-36.291,90
11,47.395,0,-36.273,90
12,47.404,0,-36.255,90
13,47.395,0,-36.255,90
14,47.386,0,-36.255,90
15,47.421,0,-36.218,90
16,47.404,0,-36.218,90
17,47.439,0,-36.218,90
18,47.439,0,-36.164,90
19,47.474,0,-36.164,90
20,47.509,0,-36.164,90
21,47.535,0,-36.164,90
22,47.561,0,-36.164,90
23,47.596,0,-36.127,90
24,47.632,0,-36.127,90
25,47.658,0,-36.127,90
26,47.684,0,-36.127,90
27,47.719,0,-36.127,90
28,47.754,0,-36.127,90
29,47.754,0,-36.091,90
30,47.807,0,-36.091,90
31,47.842,0,-36.091,90
32,47.86,0,-36.091,90
33,47.877,0,-36.091,90
34,47.93,0,-36.036,90
35,47.965,0,-36.036,90
36,47.982,0,-36.036,90
37,48,0,-36.036,90
38,48.053,0,-36.036,90
39,48.088,0,-36.036,90
40,48.088,0,-36,90
41,48.123,0,-36,90
42,48.175,0,-36,90
43,48.193,0,-36,90
44,48.211,0,-36,90
45,48.246,0,-35.964,90
46,48.298,0,-35.964,90
47,48.316,0,-35.964,90
48,48.333,0,-35.964,90
49,48.368,0,-35.964,90
50,48.421,0,-35.964,90
51,48.439,0,-35.927,90
52,48.474,0,-35.927,90
53,48.509,0,-35.927,90
54,48.526,0,-35.927,90
55,48.561,0,-35.891,90
56,48.596,0,-35.891,90
57,48.614,0,-35.891,90
58,48.649,0,-35.891,90
59,48.719,0,-35.855,90
60,48.737,0,-35.855,90
61,48.772,0,-35.855,90
62,48.807,0,-35.855,90
63,48.825,0,-35.818,90
64,48.86,0,-35.818,90
65,48.895,0,-35.818,90
66,48.912,0,-35.818,90
67,48.982,0,-35.782,90
