frame,x,y,z,rot
1,67.912,0,-36.391,0
2,67.895,0,-36.364,0
3,67.86,0,-36.309,0
4,67.825,0,-36.273,0
5,67.825,0,-36.218,0
6,67.789,0,-36.164,0
7,67.754,0,-36.127,0
8,67.719,0,-36.073,0
9,67.702,0,-36.055,0
10,67.684,0,-36.036,0
11,67.649,0,-36,0
12,67.614,0,-35.964,0
13,67.614,0,-35.927,0
14,67.579,0,-35.891,0
15,67.544,0,-35.855,0
16,67.544,0,-35.818,0
17,67.509,0,-35.782,0
18,67.474,0,-35.745,0
19,67.474,0,-35.709,0
20,67.439,0,-35.673,0
21,67.404,0,-35.636,0
22,67.368,0,-35.6,0
23,67.368,0,-35.564,0
24,67.333,0,-35.527,0
25,67.298,0,-35.491,0
26,67.281,0,-35.473,0
27,67.263,0,-35.455,0
28,67.228,0,-35.418,0
29,67.228,0,-35.382,0
30,67.193,0,-35.345,0
31,67.158,0,-35.309,0
32,67.123,0,-35.273,0
33,67.123,0,-35.236,0
34,67.088,0,-35.2,0
35,67.053,0,-35.164,0
36,67.053,0,-35.127,0
37,67.018,0,-35.091,0
38,66.982,0,-35.055,0
39,66.982,0,-35.018,0
40,66.947,0,-34.982,0
41,66.912,0,-34.945,0
42,66.895,0,-34.927,0
43,66.877,0,-34.909,0
44,66.842,0,-34.873,0
45,66.807,0,-34.836,0
46,66.807,0,-34.8,0
47,66.772,0,-34.764,0
48,66.737,0,-34.727,0
49,66.737,0,-34.691,0
50,66.702,0,-34.655,0
51,66.667,0,-34.618,0
52,66.667,0,-34.582,0
53,66.632,0,-34.545,0
54,66.596,0,-34.509,0
55,66.561,0,-34.473,0
56,66.561,0,-34.436,0
57,66.526,0,-34.4,0
58,66.491,0,-34.364,0
59,66.474,0,-34.345,0
60,66.456,0,-34.327,0
61,66.421,0,-34.291,-45
62,66.421,0,-34.255,-45
63,66.386,0,-34.218,-45
64,66.351,0,-34.182,-45
65,66.316,0,-34.145,-45
66,66.316,0,-34.109,-45
67,66.281,0,-34.073,-45
68,66.246,0,-34.036,-45
69,66.246,0,-34,-45
70,66.211,0,-33.964,-45
71,66.175,0,-33.927,-45
72,66.175,0,-33.891,-45
73,66.14,0,-33.855,-45
74,66.105,0,-33.818,-45
75,66.105,0,-33.8,-45
76,66.105,0,-33.782,-45
77,66.105,0,-33.745,-45
78,66.123,0,-33.736,-45
79,66.14,0,-33.727,-45
80,66.14,0,-33.691,-45
81,66.158,0,-33.673,-45
82,66.175,0,-33.655,-45
83,66.175,0,-33.673,-45
84,66.175,0,-33.636,-45
85,66.211,0,-33.6,-45
86,66.211,0,-33.591,-45
87,66.211,0,-33.582,-45
88,66.246,0,-33.582,-45
89,66.246,0,-33.545,-45
90,66.246,0,-33.509,-45
91,66.246,0,-33.527,-45
92,66.281,0,-33.491,-45
93,66.281,0,-33.455,-45
94,66.298,0,-33.445,-45
95,66.316,0,-33.436,-45
96,66.316,0,-33.418,-45
97,66.316,0,-33.4,-45
98,66.351,0,-33.364,-45
99,66.351,0,-33.382,-45
100,66.351,0,-33.345,-45
