frame,x,y,z,rot
1,47.86,0,-17.418,-45
2,47.825,0,-17.345,-45
3,47.789,0,-17.309,-45
4,47.754,0,-17.273,-45
5,47.719,0,-17.236,-45
6,47.684,0,-17.2,-45
7,47.684,0,-17.164,-45
8,47.649,0,-17.127,-45
9,47.614,0,-17.091,-45
10,47.614,0,-17.055,-45
11,47.579,0,-17.018,-45
12,47.544,0,-16.982,-45
13,47.544,0,-16.945,-45
14,47.509,0,-16.909,-45
15,47.474,0,-16.909,-45
16,47.439,0,-16.873,-45
17,47.439,0,-16.836,-45
18,47.404,0,-16.8,-45
19,47.368,0,-16.764,-45
20,47.368,0,-16.727,-45
21,47.333,0,-16.691,-45
22,47.298,0,-16.655,-45
23,47.298,0,-16.618,-45
24,47.263,0,-16.582,-45
25,47.228,0,-16.545,-45
26,47.211,0,-16.527,-45
27,47.193,0,-16.509,-45
28,47.158,0,-16.473,-45
29,47.123,0,-16.436,-45
30,47.123,0,-16.4,-45
31,47.088,0,-16.364,-45
32,47.053,0,-16.327,-45
33,47.053,0,-16.291,-45
34,47.018,0,-16.255,-45
35,46.982,0,-16.218,-45
36,46.982,0,-16.182,-45
37,46.947,0,-16.145,-45
38,46.912,0,-16.145,-45
39,46.877,0,-16.109,-45
40,46.877,0,-16.073,-45
41,46.842,0,-16.036,-45
42,46.807,0,-16,-45
43,46.807,0,-15.964,-45
44,46.772,0,-15.927,-45
45,46.737,0,-15.891,-45
46,46.737,0,-15.855,-45
47,46.702,0,-15.818,-45
48,46.667,0,-15.782,-45
49,46.649,0,-15.764,-45
50,46.632,0,-15.745,-45
51,46.614,0,-15.727,-45
52,46.596,0,-15.709,-45
53,46.596,0,-15.691,-45
54,46.596,0,-15.673,-45
55,46.561,0,-15.673,-45
56,46.561,0,-15.636,-45
57,46.544,0,-15.636,-45
58,46.526,0,-15.636,-45
59,46.526,0,-15.6,-45
60,46.491,0,-15.6,-45
61,46.491,0,-15.564,-80
62,46.474,0,-15.545,-80
63,46.456,0,-15.527,-80
64,46.444,0,-15.515,-80
65,46.433,0,-15.503,-80
66,46.421,0,-15.491,-80
67,46.404,0,-15.473,-80
68,46.386,0,-15.455,-80
69,46.386,0,-15.436,-80
70,46.386,0,-15.418,-80
71,46.351,0,-15.418,-80
72,46.351,0,-15.382,-80
73,46.333,0,-15.382,-80
74,46.316,0,-15.382,-80
75,46.316,0,-15.345,-80
76,46.281,0,-15.345,-80
77,46.281,0,-15.309,-80
78,46.263,0,-15.291,-80
79,46.246,0,-15.273,-80
80,46.234,0,-15.267,-80
81,46.222,0,-15.261,-80
82,46.211,0,-15.255,-80
83,46.193,0,-15.236,-80
84,46.184,0,-15.227,-80
85,46.175,0,-15.218,-80
86,46.175,0,-15.255,-80
87,46.158,0,-15.236,-80
88,46.14,0,-15.218,-80
89,46.132,0,-15.227,-80
90,46.123,0,-15.236,-80
91,46.114,0,-15.227,-75
92,46.105,0,-15.218,-75
93,46.088,0,-15.2,-75
94,46.088,0,-15.236,-75
95,46.07,0,-15.218,-75
96,46.061,0,-15.209,-75
97,46.053,0,-15.2,-75
98,46.07,0,-15.236,-75
99,45.982,0,-15.2,-75
100,45.93,0,-15.182,-75
101,45.877,0,-15.2,-75
102,45.825,0,-15.182,-75
103,45.754,0,-15.145,-75
104,45.702,0,-15.164,-75
105,45.649,0,-15.145,-75
106,45.596,0,-15.164,-75
107,45.526,0,-15.127,-75
108,45.474,0,-15.109,-75
109,45.421,0,-15.127,-75
110,45.368,0,-15.109,-75
111,45.333,0,-15.127,-75
112,45.298,0,-15.091,-75
113,45.298,0,-15.055,-75
114,45.263,0,-15.018,-75
115,45.263,0,-14.982,-75
116,45.228,0,-14.945,-75
117,45.211,0,-14.927,-75
118,45.193,0,-14.909,-75
119,45.193,0,-14.873,-75
120,45.193,0,-14.836,-75
121,45.158,0,-14.8,-75
122,45.158,0,-14.764,-75
123,45.123,0,-14.764,-75
124,45.123,0,-14.727,-75
125,45.088,0,-14.691,-75
126,45.088,0,-14.655,-75
127,45.053,0,-14.618,-75
128,45.053,0,-14.582,-75
129,45.035,0,-14.564,-75
130,45.018,0,-14.545,-75
131,45.018,0,-14.509,-75
132,44.982,0,-14.473,-75
133,44.982,0,-14.436,-75
134,44.947,0,-14.4,-75
135,44.947,0,-14.382,-75
136,44.947,0,-14.364,-75
137,44.912,0,-14.327,-75
138,44.912,0,-14.291,-75
139,44.877,0,-14.255,-75
140,44.877,0,-14.218,-75
141,44.842,0,-14.218,-75
142,44.842,0,-14.182,-75
143,44.807,0,-14.145,-75
144,44.807,0,-14.109,-75
145,44.807,0,-14.073,-75
146,44.772,0,-14.036,-75
147,44.754,0,-14.018,-75
148,44.737,0,-14,-75
149,44.737,0,-13.964,-75
150,44.702,0,-13.927,-75
151,44.702,0,-13.891,-45
152,44.702,0,-13.873,-45
153,44.702,0,-13.855,-45
154,44.702,0,-13.818,-45
155,44.737,0,-13.782,-45
156,44.737,0,-13.745,-45
157,44.772,0,-13.709,-45
158,44.772,0,-13.691,-45
159,44.772,0,-13.673,-45
160,44.807,0,-13.636,-45
161,44.807,0,-13.6,-45
162,44.842,0,-13.564,-45
163,44.842,0,-13.527,-45
164,44.86,0,-13.509,-45
165,44.877,0,-13.491,-45
166,44.877,0,-13.455,-45
167,44.912,0,-13.418,-45
168,44.912,0,-13.382,-45
169,44.947,0,-13.345,-45
170,44.947,0,-13.327,-45
171,44.947,0,-13.309,-45
172,44.982,0,-13.273,-45
173,44.982,0,-13.236,-45
174,45.018,0,-13.2,-45
175,45.018,0,-13.164,-45
176,45.035,0,-13.145,-45
177,45.053,0,-13.127,-45
178,45.053,0,-13.091,-45
179,45.088,0,-13.055,-45
180,45.088,0,-13.018,-45
181,45.123,0,-13.018,-45
182,45.14,0,-13.018,-45
183,45.158,0,-13.018,-45
184,45.193,0,-13.055,-45
185,45.228,0,-13.055,-45
186,45.263,0,-13.055,-45
187,45.298,0,-13.091,-45
188,45.333,0,-13.091,-45
189,45.368,0,-13.091,-45
190,45.404,0,-13.127,-45
191,45.421,0,-13.127,-45
192,45.439,0,-13.127,-45
193,45.474,0,-13.164,-45
194,45.509,0,-13.164,-45
195,45.544,0,-13.164,-45
196,45.579,0,-13.2,-45
197,45.614,0,-13.2,-45
198,45.649,0,-13.2,-45
199,45.684,0,-13.236,-45
200,45.719,0,-13.236,-45
201,45.737,0,-13.255,-45
202,45.754,0,-13.273,-45
203,45.789,0,-13.273,-45
204,45.825,0,-13.273,-45
205,45.86,0,-13.309,-45
206,45.895,0,-13.309,-45
207,45.93,0,-13.309,-45
208,45.965,0,-13.345,-45
209,46,0,-13.345,-45
210,46.035,0,-13.382,-45
211,46,0,-13.4,-110
212,46,0,-13.436,-110
213,45.965,0,-13.473,-110
214,45.965,0,-13.545,-110
215,45.93,0,-13.582,-110
216,45.93,0,-13.6,-110
217,45.895,0,-13.673,-110
218,45.895,0,-13.709,-110
219,45.86,0,-13.745,-110
220,45.86,0,-13.818,-110
221,45.825,0,-13.855,-110
222,45.825,0,-13.873,-110
223,45.825,0,-13.945,-110
224,45.789,0,-13.982,-110
225,45.789,0,-14.018,-110
226,45.754,0,-14.091,-110
