frame,x,y,z,rot
1,34.895,0,-33.727,
2,34.877,0,-33.745,
3,34.842,0,-33.745,
4,34.842,0,-33.782,
5,34.807,0,-33.782,
6,34.772,0,-33.818,
7,34.772,0,-33.855,
8,34.737,0,-33.855,
9,34.702,0,-33.891,
10,34.684,0,-33.909,
11,34.667,0,-33.927,
12,34.632,0,-33.927,
13,34.632,0,-33.964,
14,34.596,0,-33.964,
15,34.561,0,-34,
16,34.544,0,-34.018,
17,34.526,0,-34.036,
18,34.491,0,-34.073,
19,34.474,0,-34.091,
20,34.456,0,-34.109,
21,34.421,0,-34.109,
22,34.421,0,-34.145,
23,34.386,0,-34.145,
24,34.351,0,-34.182,
25,34.316,0,-34.182,
26,34.316,0,-34.218,
27,34.281,0,-34.218,
28,34.246,0,-34.255,
29,34.228,0,-34.273,
30,34.211,0,-34.291,
31,34.175,0,-34.327,
32,34.158,0,-34.345,
33,34.14,0,-34.364,
34,34.105,0,-34.364,
35,34.105,0,-34.4,
36,34.07,0,-34.4,
37,34.035,0,-34.436,
38,34.018,0,-34.455,
39,34,0,-34.473,
40,33.965,0,-34.473,
41,33.965,0,-34.509,
42,33.93,0,-34.545,
43,33.895,0,-34.545,
44,33.895,0,-34.582,
45,33.86,0,-34.582,
46,33.825,0,-34.618,
47,33.807,0,-34.636,
48,33.789,0,-34.655,
49,33.754,0,-34.655,
50,33.754,0,-34.691,
51,33.719,0,-34.691,
52,33.684,0,-34.727,
53,33.684,0,-34.764,
54,33.614,0,-34.764,
55,33.579,0,-34.764,
56,33.544,0,-34.764,
57,33.509,0,-34.764,
58,33.474,0,-34.764,
59,33.439,0,-34.764,
60,33.404,0,-34.764,
61,33.368,0,-34.764,
62,33.333,0,-34.764,
63,33.298,0,-34.764,
64,33.263,0,-34.764,
65,33.228,0,-34.764,
66,33.193,0,-34.764,
67,33.158,0,-34.764,
68,33.123,0,-34.764,
69,33.088,0,-34.764,
70,33.053,0,-34.764,
71,33.018,0,-34.764,
72,32.982,0,-34.764,
73,32.947,0,-34.764,
74,32.877,0,-34.764,
75,32.842,0,-34.764,
76,32.807,0,-34.764,
77,32.772,0,-34.764,
78,32.737,0,-34.764,
79,32.702,0,-34.764,
80,32.667,0,-34.764,
81,32.632,0,-34.764,
82,32.596,0,-34.764,
83,32.561,0,-34.764,
84,32.526,0,-34.764,
85,32.491,0,-34.764,
86,32.456,0,-34.764,
87,32.421,0,-34.764,
88,32.386,0,-34.764,
89,32.351,0,-34.764,
90,32.316,0,-34.764,
91,32.281,0,-34.764,
92,32.246,0,-34.764,
93,32.211,0,-34.764,
94,32.175,0,-34.727,
95,32.164,0,-34.727,
96,32.152,0,-34.727,
97,32.14,0,-34.727,
98,32.14,0,-34.709,
99,32.14,0,-34.691,
100,32.105,0,-34.691,
101,32.094,0,-34.691,
102,32.082,0,-34.691,
103,32.07,0,-34.691,
104,32.07,0,-34.673,
105,32.07,0,-34.655,
106,32.053,0,-34.655,
107,32.035,0,-34.655,
108,32.023,0,-34.642,
109,32.012,0,-34.63,
110,32,0,-34.618,
111,31.988,0,-34.618,
112,31.977,0,-34.618,
113,31.965,0,-34.618,
114,31.965,0,-34.606,
115,31.965,0,-34.594,
116,31.965,0,-34.582,
117,31.93,0,-34.582,
118,31.918,0,-34.582,
119,31.906,0,-34.582,
120,31.895,0,-34.582,
121,31.895,0,-34.545,
122,31.877,0,-34.545,
123,31.86,0,-34.545,
124,31.86,0,-34.536,
125,31.86,0,-34.527,
126,31.86,0,-34.518,
127,31.86,0,-34.509,
128,31.895,0,-34.509,
129,31.93,0,-34.509,
130,31.93,0,-34.473,
131,31.965,0,-34.473,
132,32,0,-34.473,
133,32,0,-34.436,
134,32.035,0,-34.4,
135,32.07,0,-34.4,
136,32.105,0,-34.364,
137,32.14,0,-34.364,
138,32.175,0,-34.327,
139,32.211,0,-34.291,
140,32.246,0,-34.291,
141,32.246,0,-34.255,
142,32.281,0,-34.255,
143,32.316,0,-34.218,
144,32.351,0,-34.182,
145,32.386,0,-34.182,
146,32.421,0,-34.145,
147,32.456,0,-34.145,
148,32.491,0,-34.109,
149,32.526,0,-34.109,
150,32.526,0,-34.073,
151,32.561,0,-34.036,
152,32.596,0,-34.036,
153,32.632,0,-34,
154,32.667,0,-34,
155,32.702,0,-33.964,
156,32.737,0,-33.927,
157,32.772,0,-33.927,
158,32.772,0,-33.891,
159,32.807,0,-33.891,
160,32.842,0,-33.855,
161,32.877,0,-33.818,
162,32.912,0,-33.818,
163,32.947,0,-33.782,
164,32.982,0,-33.782,
165,33.018,0,-33.745,
166,33.053,0,-33.745,
167,33.088,0,-33.709,
168,33.158,0,-33.673,
169,33.228,0,-33.673,
170,33.298,0,-33.636,
171,33.368,0,-33.6,
172,33.439,0,-33.6,
173,33.509,0,-33.564,
174,33.579,0,-33.527,
175,33.649,0,-33.527,
176,33.719,0,-33.491,
177,33.754,0,-33.455,
178,33.825,0,-33.455,
179,33.895,0,-33.418,
180,33.965,0,-33.382,
181,34.035,0,-33.382,
182,34.105,0,-33.345,
183,34.175,0,-33.309,
184,34.246,0,-33.309,
185,34.316,0,-33.273,
186,34.386,0,-33.236,
187,34.456,0,-33.236,
188,34.526,0,-33.2,
189,34.596,0,-33.164,
190,34.702,0,-33.164,
191,34.772,0,-33.127,
192,34.842,0,-33.091,
193,34.947,0,-33.091,
194,35.018,0,-33.055,
195,35.14,0,-33.055,
196,35.211,0,-33.018,
197,35.281,0,-32.982,
198,35.386,0,-32.982,
199,35.456,0,-32.945,
200,35.526,0,-32.909,
201,35.632,0,-32.909,
202,35.702,0,-32.873,
203,35.825,0,-32.891,
204,35.895,0,-32.855,
205,35.965,0,-32.818,
206,36.07,0,-32.818,
207,36.14,0,-32.782,
208,36.211,0,-32.745,
209,36.316,0,-32.745,
