frame,x,y,z
1,106.807,0,-38.8
2,106.947,0,-38.727
3,107.088,0,-38.655
4,107.193,0,-38.582
5,107.333,0,-38.509
6,107.474,0,-38.436
7,107.614,0,-38.364
8,107.719,0,-38.291
9,107.86,0,-38.255
10,108.018,0,-38.218
11,108.158,0,-38.182
12,108.263,0,-38.109
13,108.421,0,-38.073
14,108.561,0,-38.036
15,108.719,0,-38.018
16,108.825,0,-37.945
17,108.965,0,-37.909
18,109.123,0,-37.873
19,109.263,0,-37.836
20,109.368,0,-37.764
21,109.526,0,-37.727
22,109.667,0,-37.691
23,109.825,0,-37.673
24,109.912,0,-37.636
25,110.053,0,-37.636
26,110.193,0,-37.636
27,110.316,0,-37.6
28,110.421,0,-37.6
29,110.561,0,-37.6
30,110.684,0,-37.564
31,110.825,0,-37.564
32,110.965,0,-37.582
33,111.053,0,-37.545
34,111.193,0,-37.545
35,111.333,0,-37.545
36,111.456,0,-37.509
37,111.561,0,-37.509
38,111.702,0,-37.509
39,111.825,0,-37.473
40,111.965,0,-37.473
41,112.105,0,-37.491
42,112.193,0,-37.455
43,112.281,0,-37.455
44,112.386,0,-37.473
45,112.474,0,-37.473
46,112.579,0,-37.491
47,112.667,0,-37.491
48,112.772,0,-37.509
49,112.86,0,-37.473
50,112.947,0,-37.473
51,113.053,0,-37.491
52,113.14,0,-37.491
53,113.246,0,-37.509
54,113.333,0,-37.509
55,113.439,0,-37.527
56,113.491,0,-37.509
57,113.561,0,-37.509
58,113.632,0,-37.509
59,113.719,0,-37.491
60,113.789,0,-37.491
61,113.86,0,-37.491
62,113.965,0,-37.491
63,113.982,0,-37.473
64,114.053,0,-37.473
65,114.088,0,-37.455
66,114.158,0,-37.455
67,114.228,0,-37.455
68,114.246,0,-37.436
69,114.316,0,-37.436
70,114.386,0,-37.436
71,114.421,0,-37.418
72,114.491,0,-37.418
73,114.561,0,-37.418
74,114.57,0,-37.418
75,114.579,0,-37.418
76,114.614,0,-37.418
77,114.632,0,-37.418
78,114.684,0,-37.436
79,114.693,0,-37.436
80,114.702,0,-37.436
81,114.737,0,-37.436
82,114.754,0,-37.436
83,114.807,0,-37.455
84,114.789,0,-37.436
85,114.825,0,-37.436
86,114.842,0,-37.436
87,114.842,0,-37.418
88,114.86,0,-37.418
89,114.895,0,-37.418
90,114.877,0,-37.4
91,114.912,0,-37.4
92,114.93,0,-37.4
93,114.93,0,-37.382
94,114.947,0,-37.382
95,114.982,0,-37.382
96,114.982,0,-37.391
97,114.982,0,-37.4
98,114.982,0,-37.418
99,114.982,0,-37.436
100,114.982,0,-37.445
101,114.982,0,-37.455
102,114.982,0,-37.473
103,114.982,0,-37.491
104,114.982,0,-37.473
105,114.982,0,-37.455
106,114.982,0,-37.455
107,114.982,0,-37.473
108,114.982,0,-37.473
109,114.982,0,-37.455
110,115.018,0,-37.491
111,115.018,0,-37.4
112,115.018,0,-37.382
113,115.07,0,-37.309
114,115.07,0,-37.273
115,115.123,0,-37.236
116,115.14,0,-37.164
117,115.193,0,-37.109
118,115.228,0,-37.091
119,115.281,0,-37.018
120,115.298,0,-36.964
121,115.368,0,-36.945
122,115.386,0,-36.873
123,115.439,0,-36.818
124,115.509,0,-36.8
125,115.509,0,-36.727
126,115.509,0,-36.691
127,115.509,0,-36.655
128,115.509,0,-36.582
129,115.526,0,-36.564
130,115.526,0,-36.527
131,115.526,0,-36.455
132,115.526,0,-36.418
133,115.544,0,-36.4
134,115.544,0,-36.364
135,115.544,0,-36.373
136,115.544,0,-36.382
137,115.556,0,-36.376
138,115.567,0,-36.37
139,115.579,0,-36.364
140,115.579,0,-36.37
141,115.579,0,-36.376
142,115.579,0,-36.382
143,115.596,0,-36.391
144,115.614,0,-36.4
145,115.596,0,-36.382
146,115.632,0,-36.382
147,115.667,0,-36.382
148,115.702,0,-36.382
149,115.737,0,-36.364
150,115.772,0,-36.364
151,115.807,0,-36.364
152,115.842,0,-36.364
153,115.877,0,-36.364
154,115.86,0,-36.345
155,115.895,0,-36.345
156,115.93,0,-36.345
157,115.965,0,-36.345
158,116,0,-36.327
159,116.035,0,-36.327
160,116.07,0,-36.327
161,116.105,0,-36.327
162,116.14,0,-36.327
163,116.105,0,-36.291
164,116.105,0,-36.255
165,116.105,0,-36.218
166,116.07,0,-36.182
167,116.07,0,-36.145
168,116.07,0,-36.109
169,116.07,0,-36.073
170,116.14,0,-36
171,116.228,0,-35.927
172,116.316,0,-35.855
173,116.439,0,-35.818
174,116.526,0,-35.745
175,116.614,0,-35.673
176,116.737,0,-35.636
177,116.719,0,-35.545
178,116.719,0,-35.455
179,116.737,0,-35.382
180,116.737,0,-35.291
181,116.754,0,-35.236
182,116.754,0,-35.164
183,116.772,0,-35.073
184,116.772,0,-34.982
185,116.807,0,-34.945
186,116.825,0,-34.8
187,116.877,0,-34.691
188,116.895,0,-34.564
189,116.947,0,-34.455
190,117.018,0,-34.364
191,117,0,-34.218
192,117.035,0,-34.073
193,117.053,0,-33.982
194,117.088,0,-33.836
195,117.123,0,-33.745
196,117.123,0,-33.691
197,117.158,0,-33.655
198,117.193,0,-33.6
199,117.228,0,-33.564
200,117.228,0,-33.509
201,117.263,0,-33.473
202,117.298,0,-33.418
203,117.333,0,-33.382
204,117.333,0,-33.345
205,117.351,0,-33.355
206,117.368,0,-33.364
207,117.386,0,-33.355
208,117.404,0,-33.345
209,117.421,0,-33.355
210,117.439,0,-33.364
