frame,x,y,z,roty
1,73.263,0,-16.182,170
2,73.175,0,-15.909,170
3,73.298,0,-16.055,170
4,73.474,0,-16.218,170
5,73.596,0,-16.364,170
6,73.737,0,-16.509,170
7,73.895,0,-16.673,170
8,74.035,0,-16.818,170
9,74.158,0,-16.964,170
10,74.333,0,-17.127,170
11,74.456,0,-17.273,170
12,74.632,0,-17.455,170
13,74.737,0,-17.564,170
14,74.86,0,-17.709,170
15,75.018,0,-17.855,170
16,75.123,0,-18,170
17,75.246,0,-18.182,170
18,75.368,0,-18.382,170
19,75.474,0,-18.564,170
20,75.596,0,-18.764,170
21,75.754,0,-18.945,170
22,75.86,0,-19.145,170
23,75.982,0,-19.327,170
24,76.105,0,-19.527,170
25,76.228,0,-19.709,170
26,76.333,0,-19.909,170
27,76.491,0,-20.091,170
28,76.614,0,-20.291,170
29,76.719,0,-20.473,170
30,76.842,0,-20.673,170
31,76.965,0,-20.855,170
32,77.123,0,-21.055,170
33,77.263,0,-21.2,170
34,77.421,0,-21.364,170
35,77.614,0,-21.509,170
36,77.772,0,-21.709,170
37,77.965,0,-21.855,170
38,78.123,0,-22.018,170
39,78.316,0,-22.164,170
40,78.474,0,-22.364,170
41,78.667,0,-22.509,170
42,78.825,0,-22.673,170
43,79.018,0,-22.873,170
44,79.158,0,-23,170
45,79.298,0,-23.145,170
46,79.439,0,-23.273,170
47,79.579,0,-23.418,170
48,79.754,0,-23.6,170
49,79.895,0,-23.709,170
50,80.07,0,-23.873,170
51,80.246,0,-24.036,170
52,80.386,0,-24.2,170
53,80.561,0,-24.364,170
54,80.737,0,-24.527,170
55,80.912,0,-24.691,170
56,81.053,0,-24.818,170
57,81.193,0,-25,170
58,81.351,0,-25.182,170
59,81.491,0,-25.327,170
60,81.649,0,-25.509,170
61,81.789,0,-25.691,170
62,81.93,0,-25.818,170
63,82.088,0,-26,170
64,82.228,0,-26.182,170
65,82.386,0,-26.327,170
66,82.526,0,-26.509,170
67,82.719,0,-26.691,170
68,82.86,0,-26.818,170
69,83,0,-27,170
70,83.158,0,-27.182,170
71,83.298,0,-27.327,170
72,83.456,0,-27.509,170
73,83.596,0,-27.691,170
74,83.737,0,-27.818,170
75,83.895,0,-28,170
76,84.035,0,-28.182,170
77,84.193,0,-28.327,170
78,84.333,0,-28.509,170
79,84.526,0,-28.691,170
80,84.667,0,-28.8,170
81,84.842,0,-28.945,170
82,84.982,0,-29.055,170
83,85.158,0,-29.218,170
84,85.298,0,-29.364,170
85,85.474,0,-29.473,170
86,85.667,0,-29.636,170
87,85.807,0,-29.782,170
88,85.982,0,-29.891,170
89,86.123,0,-30.036,170
90,86.298,0,-30.2,170
91,86.439,0,-30.309,170
92,86.614,0,-30.455,170
93,86.807,0,-30.618,170
94,86.947,0,-30.727,170
95,87.123,0,-30.873,170
96,87.263,0,-30.982,170
97,87.439,0,-31.145,170
98,87.579,0,-31.291,170
99,87.754,0,-31.4,170
100,87.947,0,-31.564,170
101,88.088,0,-31.709,170
102,88.263,0,-31.818,170
103,88.404,0,-31.964,170
104,88.579,0,-32.127,170
105,88.719,0,-32.236,170
106,88.895,0,-32.382,170
107,89.088,0,-32.545,170
108,89.263,0,-32.636,170
109,89.439,0,-32.782,170
110,89.632,0,-32.891,170
111,89.807,0,-33.036,170
