frame,x,y,z
1,56.807,0,-11.018
2,56.93,0,-11.018
3,57.105,0,-11.055
4,57.281,0,-11.091
5,57.456,0,-11.091
6,57.614,0,-11.127
7,57.754,0,-11.164
8,57.93,0,-11.164
9,58.105,0,-11.2
10,58.263,0,-11.236
11,58.439,0,-11.273
12,58.614,0,-11.273
13,58.754,0,-11.309
14,58.912,0,-11.345
15,59.088,0,-11.345
16,59.263,0,-11.382
17,59.439,0,-11.418
18,59.614,0,-11.455
19,59.719,0,-11.491
20,59.86,0,-11.527
21,59.965,0,-11.564
22,60.105,0,-11.6
23,60.263,0,-11.636
24,60.421,0,-11.673
25,60.579,0,-11.709
26,60.737,0,-11.745
27,60.895,0,-11.782
28,61.105,0,-11.855
29,61.263,0,-11.891
30,61.421,0,-11.927
31,61.579,0,-11.964
32,61.737,0,-12
33,61.895,0,-12.036
34,62.105,0,-12.109
35,62.246,0,-12.145
36,62.386,0,-12.218
37,62.526,0,-12.255
38,62.719,0,-12.327
39,62.86,0,-12.4
40,63,0,-12.436
41,63.175,0,-12.509
42,63.333,0,-12.582
43,63.474,0,-12.618
44,63.649,0,-12.691
45,63.789,0,-12.764
46,63.947,0,-12.8
47,64.123,0,-12.873
48,64.263,0,-12.909
49,64.404,0,-12.982
50,64.561,0,-13.055
51,64.737,0,-13.091
52,64.877,0,-13.164
53,65.018,0,-13.236
54,65.211,0,-13.273
55,65.351,0,-13.345
56,65.491,0,-13.418
57,65.667,0,-13.455
58,65.825,0,-13.527
59,65.965,0,-13.6
60,66.14,0,-13.636
61,66.281,0,-13.709
62,66.439,0,-13.745
63,66.579,0,-13.818
64,66.754,0,-13.891
65,66.895,0,-13.927
66,67.053,0,-14
67,67.228,0,-14.073
68,67.368,0,-14.109
69,67.509,0,-14.182
70,67.702,0,-14.255
71,67.842,0,-14.291
72,67.982,0,-14.364
73,68.175,0,-14.436
74,68.316,0,-14.473
75,68.491,0,-14.545
76,68.667,0,-14.618
77,68.842,0,-14.655
