frame,x,y,z
1,43.895,0,-7.055
2,43.965,0,-7.036
3,44.07,0,-7.036
4,44.193,0,-7.073
5,44.263,0,-7.073
6,44.368,0,-7.109
7,44.491,0,-7.091
8,44.561,0,-7.091
9,44.667,0,-7.127
10,44.789,0,-7.127
11,44.86,0,-7.164
12,44.965,0,-7.164
13,45.088,0,-7.145
14,45.158,0,-7.182
15,45.263,0,-7.182
16,45.386,0,-7.218
17,45.456,0,-7.218
18,45.561,0,-7.218
19,45.684,0,-7.236
20,45.789,0,-7.236
21,45.86,0,-7.273
22,45.982,0,-7.273
23,46.088,0,-7.273
24,46.158,0,-7.309
25,46.281,0,-7.291
26,46.386,0,-7.327
27,46.456,0,-7.327
28,46.579,0,-7.327
29,46.684,0,-7.364
30,46.754,0,-7.364
31,46.877,0,-7.382
32,46.982,0,-7.382
33,47.053,0,-7.382
34,47.175,0,-7.418
35,47.281,0,-7.418
36,47.404,0,-7.455
37,47.491,0,-7.455
38,47.579,0,-7.455
39,47.684,0,-7.491
40,47.772,0,-7.491
41,47.86,0,-7.491
42,47.965,0,-7.527
43,48.053,0,-7.527
44,48.158,0,-7.582
45,48.246,0,-7.582
46,48.333,0,-7.582
47,48.439,0,-7.618
48,48.526,0,-7.618
49,48.614,0,-7.618
50,48.719,0,-7.655
51,48.807,0,-7.655
52,48.912,0,-7.709
53,49.018,0,-7.691
54,49.123,0,-7.727
55,49.228,0,-7.764
56,49.333,0,-7.764
57,49.439,0,-7.8
58,49.544,0,-7.836
59,49.649,0,-7.836
60,49.754,0,-7.855
61,49.86,0,-7.891
62,49.965,0,-7.891
63,50.07,0,-7.927
64,50.175,0,-7.964
65,50.281,0,-7.964
66,50.386,0,-8
67,50.509,0,-8.036
68,50.614,0,-8.018
69,50.719,0,-8.055
70,50.825,0,-8.091
71,50.93,0,-8.091
72,51.035,0,-8.127
73,51.14,0,-8.164
74,51.246,0,-8.164
75,51.351,0,-8.182
76,51.456,0,-8.218
77,51.561,0,-8.218
78,51.667,0,-8.255
79,51.772,0,-8.291
80,51.877,0,-8.291
81,51.982,0,-8.327
82,52.105,0,-8.364
83,52.193,0,-8.364
84,52.298,0,-8.4
85,52.404,0,-8.436
86,52.509,0,-8.436
87,52.614,0,-8.473
88,52.719,0,-8.509
89,52.825,0,-8.545
90,52.93,0,-8.545
91,53.018,0,-8.582
92,53.123,0,-8.618
93,53.228,0,-8.655
94,53.333,0,-8.655
95,53.439,0,-8.691
96,53.544,0,-8.727
97,53.649,0,-8.727
98,53.754,0,-8.764
99,53.842,0,-8.8
100,53.947,0,-8.836
101,54.053,0,-8.836
102,54.158,0,-8.873
103,54.263,0,-8.891
104,54.368,0,-8.945
105,54.474,0,-8.945
106,54.579,0,-8.982
107,54.667,0,-9.018
108,54.772,0,-9
109,54.877,0,-9.055
110,54.982,0,-9.091
111,55.088,0,-9.109
112,55.193,0,-9.127
113,55.298,0,-9.164
114,55.404,0,-9.182
115,55.544,0,-9.236
116,55.649,0,-9.236
117,55.754,0,-9.273
118,55.86,0,-9.309
119,55.965,0,-9.345
120,56.07,0,-9.345
121,56.228,0,-9.4
122,56.333,0,-9.436
123,56.439,0,-9.473
124,56.544,0,-9.473
125,56.649,0,-9.509
126,56.754,0,-9.545
127,56.912,0,-9.6
128,57.018,0,-9.6
129,57.123,0,-9.636
130,57.228,0,-9.673
131,57.333,0,-9.709
132,57.439,0,-9.709
133,57.596,0,-9.764
134,57.702,0,-9.8
135,57.807,0,-9.836
136,57.912,0,-9.836
137,58.018,0,-9.873
138,58.123,0,-9.909
139,58.281,0,-9.964
140,58.386,0,-9.964
141,58.491,0,-10
142,58.596,0,-10.036
143,58.702,0,-10.073
144,58.807,0,-10.109
145,58.912,0,-10.145
146,59.018,0,-10.182
147,59.123,0,-10.218
148,59.228,0,-10.255
149,59.368,0,-10.291
150,59.474,0,-10.291
151,59.579,0,-10.327
152,59.684,0,-10.364
153,59.789,0,-10.4
154,59.895,0,-10.436
155,60,0,-10.473
156,60.105,0,-10.509
157,60.211,0,-10.545
158,60.316,0,-10.582
159,60.456,0,-10.618
160,60.561,0,-10.655
161,60.684,0,-10.691
162,60.789,0,-10.727
163,60.912,0,-10.764
164,61.018,0,-10.8
165,61.175,0,-10.873
166,61.281,0,-10.909
167,61.404,0,-10.945
168,61.509,0,-10.982
169,61.632,0,-11.018
170,61.737,0,-11.055
171,61.895,0,-11.127
172,61.982,0,-11.127
173,62.088,0,-11.164
174,62.211,0,-11.164
175,62.316,0,-11.2
176,62.404,0,-11.236
177,62.544,0,-11.236
178,62.632,0,-11.291
179,62.772,0,-11.291
180,62.86,0,-11.327
181,62.965,0,-11.364
182,63.088,0,-11.364
183,63.193,0,-11.4
184,63.333,0,-11.455
185,63.421,0,-11.473
186,63.526,0,-11.509
187,63.632,0,-11.545
188,63.754,0,-11.564
189,63.86,0,-11.6
190,63.965,0,-11.636
191,64.105,0,-11.673
192,64.193,0,-11.691
193,64.298,0,-11.727
194,64.439,0,-11.764
195,64.544,0,-11.8
196,64.632,0,-11.818
197,64.737,0,-11.855
198,64.877,0,-11.891
199,64.982,0,-11.927
200,65.07,0,-11.945
201,65.211,0,-11.982
202,65.316,0,-12.018
203,65.421,0,-12.055
204,65.544,0,-12.073
205,65.649,0,-12.109
206,65.754,0,-12.145
207,65.895,0,-12.218
208,65.982,0,-12.218
209,66.088,0,-12.255
210,66.193,0,-12.291
211,66.298,0,-12.291
212,66.404,0,-12.327
213,66.491,0,-12.364
214,66.596,0,-12.364
215,66.702,0,-12.4
216,66.807,0,-12.436
217,66.912,0,-12.436
218,67.018,0,-12.473
219,67.105,0,-12.527
220,67.211,0,-12.564
221,67.316,0,-12.564
222,67.421,0,-12.6
223,67.526,0,-12.636
224,67.632,0,-12.636
225,67.719,0,-12.673
226,67.825,0,-12.709
227,67.93,0,-12.709
228,68.035,0,-12.745
229,68.14,0,-12.782
230,68.281,0,-12.836
231,68.351,0,-12.836
232,68.456,0,-12.873
233,68.561,0,-12.873
234,68.667,0,-12.909
235,68.772,0,-12.945
236,68.842,0,-12.964
237,68.947,0,-13
238,69.053,0,-13.036
239,69.158,0,-13.036
240,69.263,0,-13.073
241,69.368,0,-13.127
242,69.439,0,-13.127
243,69.544,0,-13.164
244,69.649,0,-13.164
245,69.754,0,-13.2
246,69.86,0,-13.236
247,69.93,0,-13.255
248,70.035,0,-13.291
249,70.14,0,-13.327
250,70.246,0,-13.327
251,70.351,0,-13.364
252,70.456,0,-13.418
253,70.526,0,-13.4
254,70.596,0,-13.436
255,70.684,0,-13.455
256,70.754,0,-13.455
257,70.842,0,-13.473
258,70.912,0,-13.509
259,71,0,-13.491
260,71.07,0,-13.527
261,71.158,0,-13.545
262,71.228,0,-13.582
263,71.316,0,-13.564
264,71.386,0,-13.6
265,71.474,0,-13.618
266,71.544,0,-13.618
267,71.632,0,-13.636
268,71.702,0,-13.673
269,71.789,0,-13.709
270,71.842,0,-13.709
271,71.895,0,-13.709
272,71.982,0,-13.727
273,72.035,0,-13.727
274,72.123,0,-13.745
275,72.175,0,-13.745
276,72.263,0,-13.764
277,72.316,0,-13.764
278,72.404,0,-13.782
279,72.456,0,-13.782
280,72.544,0,-13.8
281,72.596,0,-13.8
282,72.702,0,-13.818
283,72.737,0,-13.818
284,72.789,0,-13.855
285,72.877,0,-13.855
286,72.93,0,-13.891
287,72.965,0,-13.891
288,73.053,0,-13.927
289,73.105,0,-13.927
290,73.193,0,-13.982
291,73.228,0,-13.982
292,73.281,0,-14.018
293,73.368,0,-14.018
294,73.421,0,-14.055
295,73.456,0,-14.055
296,73.544,0,-14.091
297,73.596,0,-14.091
298,73.684,0,-14.145
299,73.719,0,-14.145
300,73.754,0,-14.182
