frame,x,y,z,roty
1,66.316,0,-12.545,-135
2,66.333,0,-12.527,-135
3,66.333,0,-12.491,-135
4,66.351,0,-12.473,-135
5,66.368,0,-12.455,-135
6,66.368,0,-12.418,-135
7,66.386,0,-12.4,-135
8,66.404,0,-12.382,-135
9,66.404,0,-12.364,-135
10,66.404,0,-12.345,-135
11,66.439,0,-12.309,-135
12,66.439,0,-12.291,-135
13,66.439,0,-12.273,-135
14,66.474,0,-12.273,-135
15,66.474,0,-12.236,-135
16,66.474,0,-12.2,-135
17,66.509,0,-12.2,-135
18,66.509,0,-12.164,-135
19,66.509,0,-12.127,-135
20,66.544,0,-12.127,-135
21,66.544,0,-12.091,-135
22,66.561,0,-12.073,-135
23,66.579,0,-12.055,-135
24,66.579,0,-12.018,-135
25,66.596,0,-12,-135
26,66.614,0,-11.982,-135
27,66.614,0,-11.945,-135
28,66.632,0,-11.927,-135
29,66.649,0,-11.909,-135
30,66.649,0,-11.891,-135
31,66.649,0,-11.873,-135
32,66.684,0,-11.836,-135
33,66.684,0,-11.818,-135
34,66.684,0,-11.8,-135
35,66.719,0,-11.8,-135
36,66.719,0,-11.764,-135
37,66.719,0,-11.727,-135
38,66.754,0,-11.727,-135
39,66.754,0,-11.691,-135
40,66.754,0,-11.655,-135
41,66.789,0,-11.655,-135
42,66.789,0,-11.618,-135
43,66.807,0,-11.6,-135
44,66.825,0,-11.582,-135
45,66.825,0,-11.545,-135
46,66.825,0,-11.509,-135
47,66.86,0,-11.473,-135
48,66.86,0,-11.455,-135
49,66.86,0,-11.436,-135
50,66.895,0,-11.4,-135
51,66.895,0,-11.364,-135
52,66.895,0,-11.327,-135
53,66.912,0,-11.309,-135
54,66.93,0,-11.291,-135
55,66.93,0,-11.255,-135
56,66.93,0,-11.218,-135
57,66.965,0,-11.182,-135
58,66.965,0,-11.164,-135
59,66.965,0,-11.145,-135
60,67,0,-11.109,-135
61,67,0,-11.073,-135
62,67,0,-11.036,-135
63,67.035,0,-11.036,-135
64,67.035,0,-11,-135
65,67.035,0,-10.964,-135
66,67.035,0,-10.927,-135
67,67.07,0,-10.891,-135
68,67.07,0,-10.873,-135
69,67.07,0,-10.855,-135
70,67.105,0,-10.818,-135
71,67.105,0,-10.782,-135
72,67.105,0,-10.745,-135
73,67.14,0,-10.745,-135
74,67.14,0,-10.709,-135
75,67.14,0,-10.673,-135
76,67.175,0,-10.636,-135
77,67.175,0,-10.6,-135
78,67.193,0,-10.582,-135
79,67.211,0,-10.564,-135
80,67.211,0,-10.527,-135
81,67.211,0,-10.491,-135
82,67.211,0,-10.455,-135
83,67.246,0,-10.455,-135
84,67.246,0,-10.418,-135
85,67.281,0,-10.418,-135
86,67.298,0,-10.418,-135
