frame,x,y,z,roty
1,24.988,0,-42.442,90
2,25.012,0,-42.43,90
3,25.035,0,-42.418,90
4,25.105,0,-42.382,90
5,25.175,0,-42.345,90
6,25.246,0,-42.309,90
7,25.269,0,-42.309,90
8,25.292,0,-42.309,90
9,25.316,0,-42.309,90
10,25.386,0,-42.309,90
11,25.421,0,-42.273,90
12,25.491,0,-42.2,90
13,25.526,0,-42.164,90
14,25.561,0,-42.127,90
15,25.632,0,-42.055,90
16,25.667,0,-42.018,90
17,25.678,0,-42.006,90
18,25.69,0,-41.994,90
19,25.702,0,-41.982,90
20,25.772,0,-41.909,90
21,25.807,0,-41.873,90
22,25.842,0,-41.855,90
23,25.877,0,-41.836,90
24,25.947,0,-41.8,90
25,26.018,0,-41.764,90
26,26.088,0,-41.727,90
27,26.105,0,-41.709,90
28,26.123,0,-41.691,90
29,26.193,0,-41.618,90
30,26.228,0,-41.582,90
31,26.24,0,-41.57,90
32,26.251,0,-41.558,90
33,26.263,0,-41.545,90
34,26.333,0,-41.473,90
35,26.368,0,-41.436,90
36,26.439,0,-41.436,90
37,26.509,0,-41.473,90
38,26.614,0,-41.473,90
39,26.684,0,-41.509,90
40,26.754,0,-41.509,90
41,26.86,0,-41.545,90
42,26.93,0,-41.545,90
43,27,0,-41.582,90
44,27.07,0,-41.582,90
45,27.035,0,-41.545,90
46,27,0,-41.509,90
47,26.965,0,-41.473,90
48,26.93,0,-41.436,90
49,26.86,0,-41.364,90
50,26.825,0,-41.327,90
51,26.789,0,-41.291,90
52,26.825,0,-41.327,90
53,26.86,0,-41.364,90
54,26.895,0,-41.4,90
55,26.93,0,-41.436,90
56,26.895,0,-41.436,90
57,26.86,0,-41.436,90
58,26.789,0,-41.4,90
59,26.719,0,-41.364,90
60,26.649,0,-41.327,90
61,26.579,0,-41.327,90
62,26.509,0,-41.291,90
63,26.509,0,-41.364,90
64,26.509,0,-41.4,90
65,26.509,0,-41.473,90
66,26.509,0,-41.509,90
67,26.509,0,-41.582,90
68,26.509,0,-41.618,90
69,26.509,0,-41.655,90
70,26.509,0,-41.727,90
71,26.491,0,-41.745,90
72,26.474,0,-41.764,90
73,26.404,0,-41.836,90
74,26.368,0,-41.873,90
75,26.368,0,-41.8,90
76,26.368,0,-41.727,90
77,26.333,0,-41.764,90
78,26.298,0,-41.764,90
79,26.263,0,-41.8,90
80,26.193,0,-41.8,90
81,26.158,0,-41.836,90
82,26.123,0,-41.836,90
83,26.088,0,-41.873,90
84,26.074,0,-41.873,90
85,26.06,0,-41.873,90
86,26.046,0,-41.873,90
87,26.032,0,-41.873,90
88,26.018,0,-41.873,90
89,25.947,0,-41.873,90
90,25.947,0,-41.8,90
91,25.947,0,-41.727,90
92,25.912,0,-41.691,90
93,25.842,0,-41.618,90
94,25.807,0,-41.582,90
95,25.789,0,-41.582,90
96,25.772,0,-41.582,90
97,25.754,0,-41.582,90
98,25.737,0,-41.582,90
99,25.667,0,-41.582,90
100,25.649,0,-41.564,90
101,25.632,0,-41.545,90
102,25.561,0,-41.473,90
103,25.526,0,-41.436,90
104,25.456,0,-41.436,90
105,25.386,0,-41.436,90
106,25.368,0,-41.427,90
107,25.351,0,-41.418,90
108,25.333,0,-41.409,90
109,25.316,0,-41.4,90
110,25.246,0,-41.364,90
111,25.175,0,-41.327,90
112,25.105,0,-41.291,90
113,25.082,0,-41.291,90
114,25.058,0,-41.291,90
115,25.035,0,-41.291,90
116,24.965,0,-41.291,90
117,24.895,0,-41.291,90
118,24.825,0,-41.291,90
119,24.801,0,-41.291,90
120,24.778,0,-41.291,150
121,24.754,0,-41.291,150
122,24.684,0,-41.291,150
123,24.667,0,-41.273,150
124,24.649,0,-41.255,150
125,24.579,0,-41.182,150
126,24.544,0,-41.145,150
127,24.474,0,-41.145,150
128,24.404,0,-41.145,150
129,24.389,0,-41.138,150
130,24.375,0,-41.131,150
131,24.361,0,-41.124,150
132,24.347,0,-41.116,150
133,24.333,0,-41.109,150
134,24.263,0,-41.073,150
135,24.193,0,-41.036,150
136,24.123,0,-41,150
137,24.088,0,-40.988,150
138,24.053,0,-40.976,150
139,24.018,0,-40.964,150
140,23.947,0,-40.891,150
141,23.842,0,-40.855,150
142,23.807,0,-40.855,150
143,23.772,0,-40.855,150
144,23.702,0,-40.855,150
145,23.702,0,-40.836,150
146,23.702,0,-40.818,150
147,23.702,0,-40.782,150
148,23.702,0,-40.745,150
149,23.702,0,-40.709,150
150,23.632,0,-40.709,150
151,23.561,0,-40.709,150
152,23.551,0,-40.709,150
153,23.541,0,-40.709,150
154,23.531,0,-40.709,150
155,23.521,0,-40.709,150
156,23.511,0,-40.709,150
157,23.501,0,-40.709,150
158,23.491,0,-40.709,150
159,23.421,0,-40.709,150
160,23.421,0,-40.636,150
161,23.421,0,-40.564,150
162,23.421,0,-40.636,150
163,23.421,0,-40.709,150
164,23.421,0,-40.745,150
165,23.421,0,-40.782,150
166,23.421,0,-40.855,150
167,23.421,0,-40.891,150
168,23.421,0,-40.927,150
169,23.421,0,-41,150
170,23.421,0,-41.109,150
171,23.421,0,-41.182,150
172,23.421,0,-41.291,150
173,23.421,0,-41.4,150
174,23.421,0,-41.473,150
175,23.421,0,-41.582,150
176,23.386,0,-41.618,150
177,23.316,0,-41.691,150
178,23.281,0,-41.727,150
179,23.281,0,-41.8,150
180,23.281,0,-41.873,90
181,23.246,0,-41.909,90
182,23.175,0,-41.982,90
183,23.14,0,-42.018,90
184,23.14,0,-42.091,90
185,23.14,0,-42.164,90
186,23.175,0,-42.164,90
187,23.211,0,-42.164,90
188,23.281,0,-42.164,90
189,23.246,0,-42.2,90
190,23.175,0,-42.273,90
191,23.14,0,-42.309,90
192,23.211,0,-42.309,90
193,23.281,0,-42.309,90
194,23.295,0,-42.309,90
195,23.309,0,-42.309,90
196,23.323,0,-42.309,90
197,23.337,0,-42.309,90
198,23.351,0,-42.309,90
199,23.421,0,-42.309,90
200,23.404,0,-42.291,90
201,23.386,0,-42.273,90
202,23.386,0,-42.236,90
203,23.351,0,-42.2,90
204,23.351,0,-42.127,90
205,23.316,0,-42.091,90
206,23.316,0,-42.055,90
207,23.281,0,-42.018,90
208,23.281,0,-41.994,90
209,23.281,0,-41.97,90
210,23.281,0,-41.945,20
211,23.281,0,-41.873,20
212,23.351,0,-41.873,20
213,23.421,0,-41.873,20
214,23.421,0,-41.8,20
215,23.421,0,-41.727,20
216,23.439,0,-41.691,20
217,23.456,0,-41.655,20
218,23.491,0,-41.582,20
219,23.526,0,-41.509,20
220,23.561,0,-41.436,20
221,23.561,0,-41.4,20
222,23.561,0,-41.364,20
223,23.561,0,-41.291,20
224,23.596,0,-41.255,20
225,23.667,0,-41.182,20
226,23.702,0,-41.145,20
227,23.737,0,-41.109,20
228,23.807,0,-41.036,20
229,23.842,0,-41,20
230,23.842,0,-40.964,20
231,23.842,0,-40.927,20
232,23.842,0,-40.855,20
233,23.842,0,-40.782,20
234,23.842,0,-40.745,20
235,23.842,0,-40.673,20
236,23.842,0,-40.636,20
237,23.842,0,-40.564,20
238,23.877,0,-40.491,20
239,23.912,0,-40.418,20
240,23.947,0,-40.345,20
241,23.982,0,-40.273,20
242,23.982,0,-40.2,20
243,23.982,0,-40.127,20
244,24.018,0,-40.018,20
245,24.088,0,-39.945,20
246,24.123,0,-39.836,20
247,24.158,0,-39.727,20
248,24.228,0,-39.655,20
249,24.263,0,-39.545,20
250,24.298,0,-39.436,20
251,24.368,0,-39.364,20
252,24.404,0,-39.255,20
253,24.368,0,-39.218,20
254,24.298,0,-39.145,20
255,24.263,0,-39.109,20
256,24.263,0,-39.036,20
257,24.263,0,-38.964,20
258,24.228,0,-38.891,20
259,24.228,0,-38.855,20
260,24.193,0,-38.782,20
261,24.193,0,-38.709,20
262,24.158,0,-38.636,20
263,24.158,0,-38.6,20
264,24.123,0,-38.527,20
265,24.088,0,-38.455,20
266,24.018,0,-38.382,20
267,23.982,0,-38.309,20
268,23.947,0,-38.236,20
269,23.877,0,-38.164,20
270,23.842,0,-38.091,20
271,23.807,0,-38.018,20
272,23.772,0,-37.945,20
273,23.737,0,-37.873,20
274,23.702,0,-37.8,20
275,23.632,0,-37.727,20
276,23.526,0,-37.618,20
277,23.456,0,-37.545,20
278,23.386,0,-37.473,20
279,23.316,0,-37.4,20
280,23.246,0,-37.327,20
281,23.14,0,-37.218,20
282,23.07,0,-37.145,20
283,23,0,-37.073,20
284,22.93,0,-37,20
285,22.825,0,-36.891,20
286,22.754,0,-36.818,20
287,22.684,0,-36.745,20
288,22.614,0,-36.673,20
289,22.544,0,-36.6,20
290,22.439,0,-36.491,20
291,22.368,0,-36.418,20
292,22.298,0,-36.345,20
